Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,20681.0230269625,20740.1325828172,21307.2482505267,21949.4859960868,23700.6319899197,24171.8371325422,24845.65848362,26736.3089444046,28171.9094008501,25134.7712303589,24093.1401510626,25712.3843015186,25119.6655449838,25813.5767274227,26129.8390617693,27458.2253310273,27441.5296617282,28440.051963759,30082.1276448186,31096.2050738676,22855.9323200761,27200.0610793969,30559.5335346581
Aruba,ABW,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,97,..,..,..,..,..,..,..,..,..,97,..,..,..,..,..,..,..,..,..,97.9899978637695,..,..
Aruba,ABW,Urban population (% of total population),SP.URB.TOTL.IN.ZS,46.717,46.339,45.972,45.606,45.24,44.875,44.511,44.147,43.783,43.421,43.059,42.94,42.957,42.99,43.041,43.108,43.192,43.293,43.411,43.546,43.697,43.866,44.052
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,21870.4159669594,19695.7297379144,20301.8431713256,23718.1338501868,30836.7306824685,34479.7679298388,36595.7071548423,41051.6120652288,49701.2817843335,42816.5674002829,52144.6654705468,62605.600458306,68072.8732340801,68190.7010035651,62544.0873773726,56739.0265346593,49888.0410842736,53901.7145392154,57196.4220783778,54972.7017885437,51791.540179984,60607.7788605166,64997.0136536475
Australia,AUS,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,1626.73388672,1550.37390137,1752.93896484,2227.12768555,2744.08105469,2995.87255859,3174.86865234,3792.80981445,4083.42944336,3989.44116211,4947.96337891,5876.88525391,6038.87158203,5811.86865234,6098.25439453,5294.57226563,5423.82666016,5780.53710938,5830.1015625,5529.19482422,5952.890625,7039.57763672,6730.99511719
Australia,AUS,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,2.491,2.566,2.562,2.631,2.708,2.78,2.842,3.008,3.018,3.121,3.364,3.314,3.311,3.374,3.45,3.505,3.577,3.677,3.747,3.827,3.906,3.981,..
Australia,AUS,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,84.235,84.1,84.222,84.343,84.463,84.582,84.7,84.822,84.943,85.063,85.182,85.3,85.402,85.502,85.602,85.701,85.8,85.904,86.012,86.124,86.241,86.362,86.488
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,24487.2974685956,24430.495982841,26334.862215032,32110.1159661425,36614.2506533707,38157.37022862,40382.2078298575,46622.9622913635,51581.3982361071,47857.4446635266,46611.1393420232,51116.8953522042,48250.4059142637,50305.3545774973,51314.9722616322,43915.228020857,45061.4993920192,47163.7425775142,51194.0749841299,49885.9947355204,48716.4098900349,53648.7190742245,52176.6649141178
Austria,AUT,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,2269.12646484,2282.515625,2497.8659668,3091.24023438,3594.65039063,3710.39794922,3882.98193359,4478.76855469,5057.76074219,4928.98779297,4800.79345703,5167.81787109,4966.09570313,5235.34130859,5393.60205078,4612.82373047,4709.87597656,4938.92041016,5337.21826172,5263.390625,5531.0234375,6520.49072266,5851.96240234
Austria,AUT,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,3.878,3.99,4.061,4.146,4.233,4.35,4.478,4.545,4.61,4.703,4.808,4.854,4.905,4.996,5.049,5.099,5.108,5.157,5.216,5.291,5.324,5.43,5.508
Austria,AUT,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Austria,AUT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,60.213,59.934,59.655,59.375,59.094,58.813,58.532,58.249,57.966,57.683,57.399,57.115,57.147,57.336,57.526,57.715,57.905,58.094,58.297,58.515,58.748,58.995,59.256
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,655.097249579917,703.670998584686,763.108895463487,883.692580745256,1045.0136328106,1578.36733030667,2472.95725732287,3851.33015175141,5574.46810432575,4950.39949009423,5843.5337683582,7189.81869211976,7495.86527658099,7875.34536661549,7890.84028062087,5500.50364628486,3880.6852276838,4147.1981423222,4739.7943123408,4805.75371765917,4229.91064904503,5408.04535175023,7770.594223351
Azerbaijan,AZE,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,18.64016533,19.19010162,20.45606041,23.62244987,27.1906395,34.35204697,49.87102127,74.65649414,111.88427734,135.40127563,153.0665741,184.93493652,234.60324097,251.67863464,280.22314453,236.25979614,169.69596863,167.01565552,180.03610229,199.25746155,245.21949768,250.9887085,304.20162964
Azerbaijan,AZE,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,3.545,3.512,3.521,3.508,3.512,3.533,3.511,3.648,3.612,3.596,3.582,3.359,3.409,3.373,3.362,3.291,3.227,3.164,3.2,3.111,3.093,..,..
Azerbaijan,AZE,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,100,..,100,100,100,100,100,100,100,100,100,..,100,..,..,..
Azerbaijan,AZE,Urban population (% of total population),SP.URB.TOTL.IN.ZS,51.386,51.587,51.787,51.988,52.189,52.389,52.589,52.79,52.99,53.19,53.406,53.637,53.883,54.145,54.422,54.714,55.021,55.343,55.68,56.031,56.397,56.776,57.17
"Bahamas, The",BHS,GDP per capita (current US$),NY.GDP.PCAP.CD,24940.0775086078,25371.9237667614,26781.6195938652,26429.1247787663,26650.2934234303,28602.4181869995,29184.7865087908,30051.8489587756,29392.3824416397,27512.9130950084,27473.100430502,27090.8376801379,28552.0242683151,27432.9534269421,28705.6170840548,30289.4022514831,30266.5859220987,31337.1832464755,32124.4051059669,32979.5401279534,25155.6725432789,28682.3270000732,33044.388209429
"Bahamas, The",BHS,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,948.88244629,995.71844482,1021.03601074,1062.43786621,1078.31152344,1153.21594238,1257.64587402,1351.08203125,1429.23681641,1416.92468262,1444.0065918,1442.24768066,1518.64953613,1559.34936523,1619.43212891,1588.58288574,1729.71435547,2118.64892578,1941.9576416,1941.60742188,1871.10473633,2037.53186035,2341.32348633
"Bahamas, The",BHS,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,..,..,..,..,..,..,..,..,2.61,..,..,2.196,..,..,..,..,..,1.855,..,..,..,..,..
"Bahamas, The",BHS,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Bahamas, The",BHS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,82.007,82.049,82.092,82.134,82.176,82.218,82.26,82.302,82.343,82.385,82.427,82.476,82.532,82.596,82.668,82.746,82.832,82.925,83.025,83.132,83.245,83.365,83.492
Bahrain,BHR,GDP per capita (current US$),NY.GDP.PCAP.CD,14214.4836839343,13573.2339887597,13501.4708801425,14486.0269029822,15963.9493171617,17966.1657837625,19267.282615072,20908.4042548073,23299.4992780392,19465.3140745038,21819.3291098099,25032.7867743333,26438.6733230428,26989.7601148469,26451.7965647453,23734.0551143019,23800.001440631,24784.7693514607,26324.4066549559,27259.7438599327,24342.8444554718,27147.8083882286,30616.2610677495
Bahrain,BHR,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,451.50253296,457.59741211,469.15478516,530.5446167,527.82989502,557.9574585,578.29705811,677.16290283,734.99511719,838.52880859,866.67224121,921.72064209,1038.1661377,1115.16906738,1122.16040039,1128.24291992,1095.92541504,1080.08898926,1041.8560791,1030.26379395,1101.79211426,1175.28198242,1110.67590332
Bahrain,BHR,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,0.953,1.016,1.058,1.048,0.963,1.029,1.001,1.011,0.993,0.974,0.971,0.997,1.016,0.994,0.976,0.932,0.842,..,..,..,..,..,..
Bahrain,BHR,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,87,..,..,..,..,..,..,..,..,..,92.3000030517578,..,..,..,..,..,..,..,..,..,..,98
Bahrain,BHR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,88.372,88.369,88.373,88.383,88.399,88.422,88.452,88.488,88.53,88.579,88.634,88.695,88.762,88.835,88.915,88.999,89.09,89.186,89.287,89.394,89.506,89.622,89.743
Bangladesh,BGD,GDP per capita (current US$),NY.GDP.PCAP.CD,396.670730249751,394.65641001891,393.886422327628,426.74880754362,455.614016909798,480.08585075452,490.388026533289,537.955492792911,613.06204104124,679.211477428056,757.385280361508,837.336944695647,859.680536375497,958.262989798283,1094.46199702838,1224.38647668165,1649.28380858601,1811.08221668646,1965.24372731467,2129.79896954606,2248.85078828233,2482.84917843357,2716.48592677835
Bangladesh,BGD,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,8.27585602,8.10025787,9.05402279,9.98434258,10.78997898,11.31403732,12.05988026,14.03898716,15.5619669,17.7030201,20.62105751,22.77348328,23.43771553,26.96918297,29.91152382,33.20998764,39.30647659,42.17510986,44.78892899,47.84217072,51.00624084,58.53958511,61.09237671
Bangladesh,BGD,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,..,0.247,..,0.268,0.277,0.304,0.313,0.326,0.339,0.353,0.362,0.382,0.397,0.418,0.484,0.481,0.492,0.536,0.573,0.627,0.656,0.67,..
Bangladesh,BGD,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,47,..,..,..,..,..,46.6636009216309,..,..,..,59,58,61,61,65,73,73,74,75,75,76,..
Bangladesh,BGD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,23.59,24.096,24.756,25.429,26.114,26.809,27.517,28.237,28.968,29.709,30.462,31.225,31.993,32.762,33.535,34.308,35.083,35.858,36.632,37.405,38.177,38.946,39.711
Barbados,BRB,GDP per capita (current US$),NY.GDP.PCAP.CD,11674.6736471764,11639.5160522054,11760.4524736133,12075.9587020649,12886.3665272467,14214.4202213572,15619.6005955511,17235.4396434785,17565.6929970592,16294.9099491834,18860.3833703309,19345.9953139542,19034.0708028512,19308.0091116993,19277.9423599235,18954.2913724506,19065.8069800213,19692.7606711615,20055.915870771,20583.7265786414,18347.1109131055,18696.7858952957,22164.0260273876
Barbados,BRB,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,622.47875977,643.1159668,689.30773926,808.06054688,942.37701416,963.07849121,1028.39282227,1043.49401855,1136.53637695,1163.96875,1114.3729248,1163.2668457,1294.78674316,1246.16491699,1175.44348145,1154.62719727,1181.14257813,1182.00366211,1169.35559082,1168.11938477,1234.30041504,1391.49853516,1302.0592041
Barbados,BRB,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,1.379,1.583,..,..,..,1.815,..,..,..,..,..,..,..,..,..,..,..,2.55,..,..,2.626,2.881,2.965
Barbados,BRB,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Barbados,BRB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,33.827,33.629,33.431,33.234,33.037,32.841,32.646,32.451,32.256,32.063,31.87,31.7,31.553,31.429,31.328,31.249,31.193,31.159,31.147,31.158,31.191,31.246,31.324
Belarus,BLR,GDP per capita (current US$),NY.GDP.PCAP.CD,1276.28038121269,1244.37318523431,1479.38066337175,1819.52653114699,2378.33700470129,3126.07176665248,3848.22350300163,4735.48107556066,6376.17569162063,5352.48809190697,6034.67885177216,6527.6593428786,6953.21591683101,7998.0802045456,8341.29014337961,5967.06856034227,5039.77560949445,5785.53397723676,6360.05310087258,6837.76832136779,6542.8645398436,7489.71894713888,7994.64806074889
Belarus,BLR,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,57.02944183,73.3659668,85.97066498,108.51013947,140.99655151,196.13806152,221.70170593,278.63424683,348.92633057,288.44775391,341.13800049,317.82492065,364.09957886,454.51959229,448.27426147,360.91937256,296.94720459,331.94082642,349.99176025,400.11621094,420.43655396,484.03930664,529.01873779
Belarus,BLR,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,3.2998,..,..,..,..,..,..,..,..,..,..,4.618,4.697,4.719,4.877,5.051,4.277,4.33,4.386,4.434,4.47,..,..
Belarus,BLR,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,100,..,..,..,..,..,..,..,..,..,100,..,..,..
Belarus,BLR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,69.973,70.458,70.939,71.415,71.887,72.354,72.816,73.273,73.726,74.172,74.672,75.188,75.697,76.199,76.693,77.181,77.661,78.134,78.595,79.044,79.483,79.91,80.326
Belgium,BEL,GDP per capita (current US$),NY.GDP.PCAP.CD,23098.8865077401,23015.0712632462,25006.191397109,30655.2092679024,35429.4077933344,36809.7013403619,38705.1067959147,44319.165448813,48303.397956286,44923.3400135081,44197.393671162,47760.8298776546,44874.1709182123,46964.5946777056,47995.7786961339,40893.804537772,41854.5498296444,44035.3239358548,47487.2100392561,46716.6227467964,45906.2875805246,51655.7883303715,50807.2047084918
Belgium,BEL,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,1849.91601563,1879.93457031,2084.7199707,2814.88037109,3312.74169922,3405.30175781,3545.24243164,4064.07568359,4652.54589844,4637.45019531,4530.05810547,4929.19873047,4704.67578125,4953.98193359,5079.82519531,4442.13037109,4542.66162109,4783.80664063,5176.85498047,5033.16601563,5144.98144531,5743.62109375,5404.62402344
